Category,Name,Latitude,Longitude,Assc Bike Lat,Assc Bike Long,Rating,Reviews,_merge
Arts & Entertainment,Yuk Yuk'S Comedy Club,49.26,-123.115,49.262487,-123.114397,,,left_only
Arts & Entertainment,Evolve Virtual Reality,49.263,-123.114,49.262487,-123.114397,,,left_only
Arts & Entertainment,E-Exit Canada,49.262,-123.112,49.262487,-123.114397,,,left_only
Arts & Entertainment,Bard On The Beach Shakespeare Festival Administration,49.263,-123.114,49.262487,-123.114397,,,left_only
Arts & Entertainment,Exit West Broadway,49.263,-123.111,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Moii Cafe,49.263,-123.115,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Marulilu Cafe,49.263,-123.114,49.262487,-123.114397,4.0,283.0,both
"Bars, Restaurants & Cafes",Aperture Coffee Bar,49.263,-123.111,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Elysian Coffee Broadway,49.263,-123.117,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Wfm Coffee Bar,49.264,-123.115,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Blenz Coffee,49.263,-123.116,49.262487,-123.114397,3.0,13.0,both
"Bars, Restaurants & Cafes",Jammer Cafe And Urban Garage,49.264,-123.112,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Cultured Coffee & Tea,49.261,-123.116,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Onezo Tapioca,49.263,-123.118,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Foret Noire Patisserie,49.263,-123.11,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Peaceful Restaurant 和平饭店,49.263,-123.116,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Allegro Coffee Co,49.264,-123.115,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Jammer Cafe Motors Inc,49.264,-123.112,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Granville Island Coffee Co,49.263,-123.118,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Rogue Kitchen & Wetbar,49.263,-123.118,49.262487,-123.114397,3.5,143.0,both
"Bars, Restaurants & Cafes",Peaceful Restaurant,49.263,-123.116,49.262487,-123.114397,3.5,620.0,both
"Bars, Restaurants & Cafes",Menchies Frozen Yogurt,49.265,-123.115,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Uma Sushi,49.264,-123.114,49.262487,-123.114397,4.5,110.0,both
"Bars, Restaurants & Cafes",Marble Slab Creamery,49.263,-123.116,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Solly'S Bagelry,49.265,-123.112,49.262487,-123.114397,2.5,246.0,both
"Bars, Restaurants & Cafes",Hokkaido Ramen Santouka,49.263,-123.117,49.262487,-123.114397,4.0,221.0,both
"Bars, Restaurants & Cafes",Sushi Dragon Japanese Restaurant,49.263,-123.118,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Cactus Club Cafe Broadway + Ash,49.263,-123.117,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Sushi California,49.263,-123.113,49.262487,-123.114397,3.5,317.0,both
"Bars, Restaurants & Cafes",Chipotle Mexican Grill,49.263,-123.116,49.262487,-123.114397,3.0,38.0,both
"Bars, Restaurants & Cafes",Uncle Fatih'S Pizza,49.264,-123.114,49.262487,-123.114397,3.0,49.0,both
"Bars, Restaurants & Cafes",A&W Restaurant,49.263,-123.114,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Wendy'S,49.264,-123.115,49.262487,-123.114397,2.5,50.0,both
"Bars, Restaurants & Cafes",Subway,49.263,-123.114,49.262487,-123.114397,,,left_only
"Bars, Restaurants & Cafes",Benkei Ramen Noodle Shop,49.263,-123.117,49.262487,-123.114397,,,left_only
