Station_name,Station Latitude,Station Longitude,Bikes,Category,Name,POI Latitude,POI Longitude,Rating,Reviews,_merge
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Yuk Yuk'S Comedy Club,49.26,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Evolve Virtual Reality,49.263,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,E-Exit Canada,49.262,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Bard On The Beach Shakespeare Festival Administration,49.263,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Exit West Broadway,49.263,-123.111,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Moii Cafe,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Marulilu Cafe,49.263,-123.114,4.0,283.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Aperture Coffee Bar,49.263,-123.111,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Elysian Coffee Broadway,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Wfm Coffee Bar,49.264,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Blenz Coffee,49.263,-123.116,3.0,13.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Jammer Cafe And Urban Garage,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Cultured Coffee & Tea,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Onezo Tapioca,49.263,-123.118,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Foret Noire Patisserie,49.263,-123.11,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Peaceful Restaurant 和平饭店,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Allegro Coffee Co,49.264,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Jammer Cafe Motors Inc,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Granville Island Coffee Co,49.263,-123.118,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Rogue Kitchen & Wetbar,49.263,-123.118,3.5,143.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Peaceful Restaurant,49.263,-123.116,3.5,620.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Menchies Frozen Yogurt,49.265,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Uma Sushi,49.264,-123.114,4.5,110.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Marble Slab Creamery,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Solly'S Bagelry,49.265,-123.112,2.5,246.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Hokkaido Ramen Santouka,49.263,-123.117,4.0,221.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Sushi Dragon Japanese Restaurant,49.263,-123.118,,,Foursquare
