Station_name,Bikes,Arts & Entertainment,"Bars, Restaurants & Cafes","Landmarks, Parks & Sports",Municipal,Retail,Schools,Total POIs
10th & Cambie,35,26.0,93.0,76.0,4.0,99.0,4.0,302.0
10th & Columbia,14,7.0,24.0,14.0,0.0,19.0,0.0,64.0
10th & Commercial,26,8.0,41.0,8.0,2.0,27.0,1.0,87.0
10th & Fraser,14,4.0,19.0,3.0,0.0,9.0,0.0,35.0
10th & Granville,14,20.0,62.0,26.0,2.0,77.0,1.0,188.0
10th & Kingsway,20,17.0,67.0,29.0,3.0,50.0,1.0,167.0
10th & Main,18,24.0,81.0,36.0,3.0,58.0,5.0,207.0
10th & Oak,30,6.0,34.0,14.0,14.0,24.0,0.0,92.0
10th & Ontario,20,18.0,57.0,32.0,1.0,55.0,5.0,168.0
11th & Kingsway,16,12.0,66.0,24.0,3.0,52.0,1.0,158.0
12th & Yukon (City Hall),16,12.0,68.0,26.0,2.0,40.0,3.0,151.0
13th & Cambie,14,2.0,27.0,8.0,2.0,16.0,0.0,55.0
13th & St George,16,2.0,10.0,7.0,4.0,5.0,0.0,28.0
14th & Alder,14,1.0,0.0,0.0,0.0,3.0,0.0,4.0
14th & Cambie,14,2.0,30.0,7.0,2.0,20.0,0.0,61.0
14th & Fraser,16,2.0,18.0,9.0,0.0,7.0,0.0,36.0
14th & Granville,14,9.0,17.0,3.0,0.0,24.0,0.0,53.0
14th & Main,14,7.0,62.0,12.0,1.0,45.0,2.0,129.0
14th & Oak,14,0.0,15.0,1.0,7.0,7.0,0.0,30.0
14th & Ontario,16,2.0,50.0,12.0,2.0,34.0,3.0,103.0
15th & Knight,14,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15th & Victoria (Trout Lake),18,1.0,1.0,7.0,0.0,2.0,0.0,11.0
18th & Cambie,24,5.0,36.0,6.0,0.0,10.0,0.0,57.0
18th & Heather,16,4.0,6.0,9.0,0.0,1.0,1.0,21.0
18th & Main,16,10.0,25.0,11.0,1.0,44.0,0.0,91.0
1st & Chestnut,26,8.0,60.0,16.0,1.0,43.0,2.0,130.0
1st & Manitoba,32,13.0,30.0,17.0,1.0,17.0,0.0,78.0
1st & Scotia,20,22.0,33.0,20.0,2.0,27.0,3.0,107.0
20th & Main,16,5.0,25.0,5.0,0.0,37.0,1.0,73.0
22nd & Cambie,14,0.0,6.0,6.0,0.0,4.0,1.0,17.0
28th & Willow,20,0.0,9.0,1.0,12.0,1.0,0.0,23.0
29th & Cambie,20,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2nd & Commercial,22,2.0,52.0,4.0,1.0,32.0,0.0,91.0
